label,eu,nasa
planet_name,name,pl_name
semi_major_axis,semi_major_axis,pl_orbsmax
semi_major_axis_error_min,semi_major_axis_error_min,pl_orbsmaxerr2
semi_major_axis_error_max,semi_major_axis_error_max,pl_orbsmaxerr1
periastron,omega,pl_orblper
periastron_error_min,omega_error_min,pl_orblpererr2
periastron_error_max,omega_error_max,pl_orblpererr1
eccentricity,eccentricity,pl_orbeccen
eccentricity_error_min,eccentricity_error_min,pl_orbeccenerr2
eccentricity_error_max,eccentricity_error_max,pl_orbeccenerr1
period,orbital_period,pl_orbper
period_error_min,orbital_period_error_min,pl_orbpererr2
period_error_max,orbital_period_error_max,pl_orbpererr1
longitude_error_min,lambda_angle_error_min,
longitude_error_max,lambda_angle_error_max,
longitude,lambda_angle,
inclination_error_min,inclination_error_min,pl_orbinclerr2
inclination_error_max,inclination_error_max,pl_orbinclerr1
inclination,inclination,pl_orbincl
planet_mass,mass,pl_massj
planet_mass_error_min,mass_error_min,pl_massjerr2
planet_mass_error_max,mass_error_max,pl_massjerr1
planet_mass_other,mass_sini,pl_msinij
planet_mass_other_error_min,mass_sini_error_min,pl_msinijerr2
planet_mass_other_error_max,mass_sini_error_max,pl_msinijerr1
planet_radius_error_min,radius_error_min,pl_radjerr2
planet_radius_error_max,radius_error_max,pl_radjerr1
planet_radius,radius,pl_radj
planet_temperature_min,,pl_eqterr2
planet_temperature_max,,pl_eqterr1
planet_temperature,temp_measured,pl_eqt
discovery_method,detection_type,pl_discmethod
discovery_year,discovered,pl_disc
last_update,updated,rowupdate
star_name,star_name,pl_hostname
star_age,star_age,st_age
star_age_error_min,star_age_error_min,st_ageerr2
star_age_error_max,star_age_error_max,st_ageerr1
star_radius,star_radius,st_rad
star_radius_min,star_radius_error_min,st_raderr2
star_radius_max,star_radius_error_max,st_raderr1
star_mass,star_mass,st_mass
star_mass_error_min,star_mass_error_min,st_masserr2
star_mass_error_max,star_mass_error_max,st_masserr1
star_spectral_type,star_sp_type,
star_metallicity,star_metallicity,st_metratio
star_distance_error_min,star_distance_error_min,st_disterr2
star_distance_error_max,star_distance_error_max,st_disterr1
star_distance,star_distance,st_dist
right_ascension,ra,ra_str
declination,dec,dec_str
alternate_names,alternate_names,
star_alternate_names,star_alternate_names,
star_magv_min,,st_vjerr
star_magv_max,,st_vjerr
star_magv,mag_v,st_vj
impact_parameter,impact_parameter,pl_imppar
impact_parameter_error_min,impact_parameter_error_min,pl_impparerr2
impact_parameter_error_max,impact_parameter_error_max,pl_impparerr1
star_magi,mag_i,st_ic
star_magi_min,,st_icerr
star_magi_max,,st_icerr
star_magj,mag_j,st_j
star_magj_min,,st_jerr
star_magj_max,,st_jerr
star_magh,mag_h,st_h
star_magh_min,,st_herr
star_magh_max,,st_herr
star_magk,mag_k,st_k
star_magk_min,,st_kerr
star_magk_max,,st_kerr
star_temperature,star_teff,st_teff
star_temperature_min,star_teff_error_min,st_tefferr2
star_temperature_max,star_teff_error_max,st_tefferr1
